Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
117 Rands Rd,https://www.zoocasa.com/ajax-on-real-estate/117-rands-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,010,000","List Price$875,000",5 days ,4 Bed,3 Bath,N/A sqft
112 Hibbard Dr,https://www.zoocasa.com/ajax-on-real-estate/112-hibbard-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,305,000","List Price$999,900",5 days ,4 Bed,3 Bath,2500–3000 sqft
54 Rushworth Dr,https://www.zoocasa.com/ajax-on-real-estate/54-rushworth-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F28d1f056-af23-4929-a6f5-c1135008acaa.jpg&w=640&q=75,Sold,"$1,400,000","List Price$1,499,900",Sold 3 Days Ago,4 Bed,5 Bath,2500–3000 sqft
5 Palmer Dr,https://www.zoocasa.com/ajax-on-real-estate/5-palmer-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fb840b4e0-e3d6-48a4-8fb2-302ef5bb1064.jpg&w=640&q=75,Sold,"$1,017,000","List Price$1,049,999",2 days ,3 Bed,4 Bath,N/A sqft
116 Exeter Rd,https://www.zoocasa.com/ajax-on-real-estate/116-exeter-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F99fab389-44b6-45e0-b644-fc3eb69f3e1e.jpg&w=640&q=75,Sold,"$801,000","List Price$699,000",4 days ,3 Bed,1 Bath,700–1100 sqft
15 Parry Rd,https://www.zoocasa.com/ajax-on-real-estate/15-parry-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$775,000","List Price$689,000",4 days ,2 Bed,2 Bath,N/A sqft
65 Old Lakeridge Rd,https://www.zoocasa.com/ajax-on-real-estate/65-old-lakeridge-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fe4c97482-6a32-483a-885e-1657da5add72.jpg&w=640&q=75,Sold,"$1,006,000","List Price$1,000,000",3 days ,3 Bed,1 Bath,N/A sqft
49 Barden Cres,https://www.zoocasa.com/ajax-on-real-estate/49-barden-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F085bb4ef-72d5-446c-98fb-3c9e8bff9d16.jpg&w=640&q=75,Sold,"$1,390,000","List Price$1,399,999",3 days ,4 Bed,4 Bath,2000–2500 sqft
47 Carle Cres,https://www.zoocasa.com/ajax-on-real-estate/47-carle-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F3a549246-6cd3-46fa-ba9d-d1e210946624.jpg&w=640&q=75,Sold,"$1,105,000","List Price$1,124,900",3 days ,4 Bed,3 Bath,2000–2500 sqft
144 Chatfield Dr,https://www.zoocasa.com/ajax-on-real-estate/144-chatfield-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F46bf9dab-0708-4772-bc25-6532a512d665.jpg&w=640&q=75,Sold,"$990,000","List Price$899,900",Sold 3 Days Ago,3 Bed,3 Bath,N/A sqft
160 Burcher Rd,https://www.zoocasa.com/ajax-on-real-estate/160-burcher-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$918,000","List Price$949,000",Sold 5 Days Ago,3 Bed,2 Bath,N/A sqft
60 Weston Cres,https://www.zoocasa.com/ajax-on-real-estate/60-weston-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F378cf2ed-e033-47e3-9e42-201f1a0e66f9.jpg&w=640&q=75,Sold,"$1,620,000","List Price$1,499,999",4 days ,4 Bed,5 Bath,3000–3500 sqft
1 Mayor Crt,https://www.zoocasa.com/ajax-on-real-estate/1-mayor-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Ff6bf451d-1234-4b48-a1ab-010b693ca148.jpg&w=640&q=75,Sold,"$1,330,000","List Price$998,900",Sold 4 Days Ago,4 Bed,4 Bath,N/A sqft
13 Keeble Cres,https://www.zoocasa.com/ajax-on-real-estate/13-keeble-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fb996a0a9-6062-4b0b-b6f9-4b6d41e91853.jpg&w=640&q=75,Sold,"$1,225,000","List Price$1,000,000",4 days ,4 Bed,3 Bath,2000–2500 sqft
11 Howes St,https://www.zoocasa.com/ajax-on-real-estate/11-howes-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F0b347b75-3291-4d81-b735-6dfc02d7f12c.jpg&w=640&q=75,Sold,"$1,300,000","List Price$1,199,999",3 days ,4 Bed,3 Bath,2000–2500 sqft
77 Mayor Cres,https://www.zoocasa.com/ajax-on-real-estate/77-mayor-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F2e163719-6821-46ba-88a7-9eca4f05d176.jpg&w=640&q=75,Sold,"$1,150,000","List Price$989,900",3 days ,4 Bed,4 Bath,2000–2500 sqft
52 Bray Dr,https://www.zoocasa.com/ajax-on-real-estate/52-bray-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,125,000","List Price$1,199,000",5 days ,4 Bed,4 Bath,N/A sqft
55 Feint Dr,https://www.zoocasa.com/ajax-on-real-estate/55-feint-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,140,000","List Price$999,990",6 days ,3 Bed,4 Bath,N/A sqft
2 Callander Crt,https://www.zoocasa.com/ajax-on-real-estate/2-callander-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,700,000","List Price$1,750,000",Sold 8 Days Ago,4 Bed,3 Bath,N/A sqft
47 Patterson Cres,https://www.zoocasa.com/ajax-on-real-estate/47-patterson-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,210,000","List Price$899,800",6 days ,4 Bed,3 Bath,N/A sqft
82 Linton Ave,https://www.zoocasa.com/ajax-on-real-estate/82-linton-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,150,000","List Price$1,199,000",8 days ,3 Bed,4 Bath,N/A sqft
27 Hesketh Rd,https://www.zoocasa.com/ajax-on-real-estate/27-hesketh-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$987,000","List Price$899,000",8 days ,3 Bed,3 Bath,N/A sqft
5 Chaston Rd,https://www.zoocasa.com/ajax-on-real-estate/5-chaston-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$890,000","List Price$749,000",6 days ,3 Bed,3 Bath,1100–1500 sqft
110 Clements Rd E,https://www.zoocasa.com/ajax-on-real-estate/110-clements-rd-e,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$868,600","List Price$699,900",Sold 6 Days Ago,2 Bed,2 Bath,N/A sqft
28 Millington Cres,https://www.zoocasa.com/ajax-on-real-estate/28-millington-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,228,000","List Price$1,228,000",8 days ,3 Bed,3 Bath,N/A sqft
29 Woodcock Ave,https://www.zoocasa.com/ajax-on-real-estate/29-woodcock-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,347,000","List Price$1,398,900",5 days ,4 Bed,3 Bath,3000–3500 sqft
30 Luce Dr,https://www.zoocasa.com/ajax-on-real-estate/30-luce-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$972,500","List Price$829,900",6 days ,3 Bed,3 Bath,1500–2000 sqft
5 Bignell Cres,https://www.zoocasa.com/ajax-on-real-estate/5-bignell-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,569,000","List Price$1,549,000",Sold 9 Days Ago,5 Bed,6 Bath,3000–3500 sqft
17 Swanston Cres,https://www.zoocasa.com/ajax-on-real-estate/17-swanston-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fd7448437-2c79-4077-a95b-da5d05f246c7.jpg&w=640&q=75,Sold,"$820,000","List Price$749,900",Sold 9 Days Ago,3 Bed,2 Bath,N/A sqft
