Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
20 Philosophers Tr,https://www.zoocasa.com/brampton-on-real-estate/20-philosophers-trail,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F8093e57e-4de4-438e-a0f7-3ada81ff9f4f.jpg&w=640&q=75,Sold,"$1,105,001","List Price$949,000",Sold 2 Days Ago,3 Bed,3 Bath,1100–1500 sqft
66 Primrose Cres,https://www.zoocasa.com/brampton-on-real-estate/66-primrose-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fc90c6345-8f5b-48ca-ae39-53382dec3eac.jpg&w=640&q=75,Sold,"$839,000","List Price$799,000",2 days ,3 Bed,2 Bath,N/A sqft
106 Horton Cres,https://www.zoocasa.com/brampton-on-real-estate/106-horton-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F1d1a28de-b3fc-4fff-889b-b4f81664dd4e.jpg&w=640&q=75,Sold,"$1,090,000","List Price$999,900",2 days ,3 Bed,4 Bath,N/A sqft
4 - 50 Edinburgh Dr,https://www.zoocasa.com/brampton-on-real-estate/4-50-edinburgh-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F528db1f8-6d0c-4202-b32c-57956f820f30.jpg&w=640&q=75,Sold,"$1,060,000","List Price$749,900",2 days ,3 Bed,4 Bath,2250–2499 sqft
58 Clearview Crt,https://www.zoocasa.com/brampton-on-real-estate/58-clearview-ct,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F8e19a9bd-e47b-4a3b-ace4-de8c1ac34a4c.jpg&w=640&q=75,Sold,"$920,000","List Price$799,900",2 days ,3 Bed,2 Bath,N/A sqft
105 - 8351 Mclaughlin Rd,https://www.zoocasa.com/brampton-on-real-estate/105-8351-mclaughlin-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Ff3abf0fa-c776-4470-9e8f-96be6b83300d.jpg&w=640&q=75,Sold,"$491,000","List Price$474,900",2 days ,1 Bed,1 Bath,600–699 sqft
36 Clunburry Rd,https://www.zoocasa.com/brampton-on-real-estate/36-clunburry-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F2121eee3-4ab6-4d57-a111-17ce29ebfc69.jpg&w=640&q=75,Sold,"$1,305,000","List Price$1,249,999",Sold 3 Days Ago,4 Bed,3 Bath,2000–2500 sqft
20 Lollard Way,https://www.zoocasa.com/brampton-on-real-estate/20-lollard-wy,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,375,000","List Price$1,449,000",3 days ,4 Bed,3 Bath,1500–2000 sqft
24 Lynwood Crt,https://www.zoocasa.com/brampton-on-real-estate/24-lynwood-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$958,000","List Price$989,000",3 days ,3 Bed,4 Bath,N/A sqft
46 Beresford Cres,https://www.zoocasa.com/brampton-on-real-estate/46-beresford-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fa7572f75-19c7-4f99-be24-aadcb5a0ee62.jpg&w=640&q=75,Sold,"$1,400,000","List Price$1,199,900",Sold 3 Days Ago,4 Bed,4 Bath,2000–2500 sqft
