Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
5201 Verhoeven Rd,https://www.zoocasa.com/burlington-on-real-estate/5201-verhoeven-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F7bb54c87-dfa0-43f2-bda5-691019362ab2.jpg&w=640&q=75,Sold,"$1,550,000","List Price$1,599,000",Sold 2 Days Ago,3 Bed,2 Bath,1100–1500 sqft
2099 Falmouth Terr,https://www.zoocasa.com/burlington-on-real-estate/2099-falmouth-terr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F24682ab8-820d-4d8f-8235-15419d2a6f4b.jpg&w=640&q=75,Sold,"$1,275,000","List Price$1,299,990",Sold 3 Days Ago,3 Bed,2 Bath,1500–2000 sqft
2257 Melissa Cres,https://www.zoocasa.com/burlington-on-real-estate/2257-melissa-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F77185008-887d-4781-aa91-5330e2b7aab1.jpg&w=640&q=75,Sold,"$870,000","List Price$799,900",3 days ,3 Bed,2 Bath,700–1100 sqft
1220 Stephenson Dr,https://www.zoocasa.com/burlington-on-real-estate/1220-stephenson-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F6a1fb361-aa04-4744-a93e-891793108dc6.jpg&w=640&q=75,Sold,"$1,200,000","List Price$1,200,000",2 days ,3 Bed,3 Bath,2000–2500 sqft
122 - 2040 Cleaver Ave,https://www.zoocasa.com/burlington-on-real-estate/122-2040-cleaver-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F810279a0-96d3-448a-b988-f96684480453.jpg&w=640&q=75,Sold,"$595,000","List Price$609,900",3 days ,1 Bed,1 Bath,600–699 sqft
3382 Sandy Lane,https://www.zoocasa.com/burlington-on-real-estate/3382-sandy-ln,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F249eedb1-024a-4dda-b2a0-78173ac0fa65.jpg&w=640&q=75,Sold,"$999,999","List Price$999,998",2 days ,2 Bed,3 Bath,N/A sqft
905 - 2055 Upper Middle Rd,https://www.zoocasa.com/burlington-on-real-estate/905-2055-upper-middle-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F7776bc32-e489-4b74-87c1-05cbb04513a4.jpg&w=640&q=75,Sold,"$765,000","List Price$699,900",3 days ,2 Bed,2 Bath,1200–1399 sqft
215 - 2010 Cleaver Ave,https://www.zoocasa.com/burlington-on-real-estate/215-2010-cleaver-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F922f5f72-107f-4a70-b298-e04c168feffc.jpg&w=640&q=75,Sold,"$525,000","List Price$530,000",21 hours ,1 Bed,1 Bath,600–699 sqft
2147 Mountainside Dr,https://www.zoocasa.com/burlington-on-real-estate/2147-mountainside-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$840,000","List Price$699,000",4 days ,3 Bed,2 Bath,700–1100 sqft
500 Rosedale Cres,https://www.zoocasa.com/burlington-on-real-estate/500-rosedale-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F395c31a9-b152-4e67-84fe-803e9b4c343d.jpg&w=640&q=75,Sold,"$1,390,000","List Price$1,425,000",3 days ,3 Bed,2 Bath,1100–1500 sqft
