Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
41 Thatchers Mill Way,https://www.zoocasa.com/markham-on-real-estate/41-thatchers-mill-way,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$811,111","List Price$588,800",4 days ,3 Bed,2 Bath,1200–1399 sqft
16 Treeline Crt,https://www.zoocasa.com/markham-on-real-estate/16-treeline-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,000,000","List Price$2,200,000",3 days ,4 Bed,5 Bath,3000–3500 sqft
180 Rouge Bank Dr,https://www.zoocasa.com/markham-on-real-estate/180-rouge-bank-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,300,000","List Price$2,250,000",4 days ,5 Bed,5 Bath,3500–5000 sqft
143 Doubtfire Cres,https://www.zoocasa.com/markham-on-real-estate/143-doubtfire-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F87fce084-8692-4021-9f7a-57b7c5768f98.jpg&w=640&q=75,Sold,"$1,450,000","List Price$1,649,800",21 hours ,4 Bed,4 Bath,2000–2500 sqft
101 Stonechurch Cres,https://www.zoocasa.com/markham-on-real-estate/101-stonechurch-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F25a4e876-e6dc-4c23-aecd-8e0def6f96de.jpg&w=640&q=75,Sold,"$1,786,000","List Price$1,699,800",Sold 3 Days Ago,5 Bed,4 Bath,2500–3000 sqft
14 Oasis Way,https://www.zoocasa.com/markham-on-real-estate/14-oasis-way,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F49744acd-7128-4921-8847-50aee1a79b1a.jpg&w=640&q=75,Sold,"$1,600,000","List Price$1,600,000",2 days ,3 Bed,3 Bath,2000–2249 sqft
8 Abbotsbury Lane,https://www.zoocasa.com/markham-on-real-estate/8-abbotsbury-ln,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Ffe11a133-69ef-44b6-8d30-e880cc8f3724.jpg&w=640&q=75,Sold,"$1,428,000","List Price$1,088,000",2 days ,4 Bed,3 Bath,N/A sqft
48 Stately Way,https://www.zoocasa.com/markham-on-real-estate/48-stately-way,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Ff8ad22f6-7983-43ae-b619-6be0d18c0c39.jpg&w=640&q=75,Sold,"$860,000","List Price$899,000",2 days ,3 Bed,2 Bath,1200–1399 sqft
44 Charnwood Pl,https://www.zoocasa.com/markham-on-real-estate/44-charnwood-pl,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F17b1076a-66d5-4be7-906d-861b97c95240.jpg&w=640&q=75,Sold,"$1,300,000","List Price$1,198,000",Sold 2 Days Ago,3 Bed,4 Bath,1500–2000 sqft
905 - 8 Rouge Valley Dr W,https://www.zoocasa.com/markham-on-real-estate/905-8-rouge-valley-dr-w,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$840,000","List Price$870,000",3 days ,2 Bed,2 Bath,700–799 sqft
33 Red Brick Rd,https://www.zoocasa.com/markham-on-real-estate/33-red-brick-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,200,000","List Price$1,229,900",3 days ,3 Bed,4 Bath,1500–2000 sqft
41 Tangmere Cres,https://www.zoocasa.com/markham-on-real-estate/41-tangmere-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,150,000","List Price$999,900",4 days ,3 Bed,2 Bath,N/A sqft
814 - 8110 Birchmount Rd,https://www.zoocasa.com/markham-on-real-estate/814-8110-birchmount-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$512,000","List Price$439,900",Sold 4 Days Ago,0 Bed,1 Bath,0-499 sqft
60 Warren Bradley St,https://www.zoocasa.com/markham-on-real-estate/60-warren-bradley-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,210,000","List Price$1,288,000",4 days ,3 Bed,4 Bath,1500–2000 sqft
45 Hammersly Blvd,https://www.zoocasa.com/markham-on-real-estate/45-hammersly-blvd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F10ae6645-1be3-4f87-b698-e0204198cc4d.jpg&w=640&q=75,Sold,"$1,715,000","List Price$1,749,000",3 days ,4 Bed,5 Bath,2500–3000 sqft
216 Boake Tr,https://www.zoocasa.com/richmond-hill-on-real-estate/216-boake-trail,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$3,310,000","List Price$3,099,000",3 days ,5 Bed,5 Bath,3500–5000 sqft
