Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
301 Goutouski Cres,https://www.zoocasa.com/milton-on-real-estate/301-goutouski-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F2b60d64b-c9a7-4b67-b280-0e32d00db3eb.jpg&w=640&q=75,Sold,"$1,360,000","List Price$1,395,000",2 days ,3 Bed,4 Bath,N/A sqft
79 Maiden Lane,https://www.zoocasa.com/milton-on-real-estate/79-maiden-ln,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F31193c31-14c1-4e10-8618-937b35e57b35.jpg&w=640&q=75,Sold,"$965,000","List Price$899,900",4 days ,3 Bed,2 Bath,N/A sqft
176 Hampshire Way,https://www.zoocasa.com/milton-on-real-estate/176-hampshire-way,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Ff7bcb702-1cbd-47c8-b7b8-874692c6da05.jpg&w=640&q=75,Sold,"$1,035,000","List Price$919,900",4 days ,3 Bed,3 Bath,N/A sqft
99 - 651 Farmstead Dr,https://www.zoocasa.com/milton-on-real-estate/99-651-farmstead-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$980,000","List Price$999,900",5 days ,3 Bed,3 Bath,N/A sqft
164 Duncan Lane,https://www.zoocasa.com/milton-on-real-estate/164-duncan-ln,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F76907df9-0a7f-4c95-a0bc-0790ea83be66.jpg&w=640&q=75,Sold,"$1,040,000","List Price$999,786",3 days ,3 Bed,3 Bath,1500–2000 sqft
1313 Leger Way,https://www.zoocasa.com/milton-on-real-estate/1313-leger-way,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F1363198d-db59-47e5-b102-aaf423f8bfef.jpg&w=640&q=75,Sold,"$1,300,000","List Price$1,369,000",Sold 4 Days Ago,3 Bed,4 Bath,1500–2000 sqft
1563 Clark Blvd,https://www.zoocasa.com/milton-on-real-estate/1563-clark-blvd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F2d1b3af8-a624-4d69-8468-ed5aacb7e07b.jpg&w=640&q=75,Sold,"$1,335,000","List Price$1,365,000",Sold 3 Days Ago,3 Bed,3 Bath,1500–2000 sqft
207 - 1005 Nadalin Hts,https://www.zoocasa.com/milton-on-real-estate/207-1005-nadalin-hts,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F36d02afb-6646-4540-9944-52ef8d713e54.jpg&w=640&q=75,Sold,"$675,000","List Price$648,900",4 days ,2 Bed,2 Bath,800–899 sqft
35 - 651 Farmstead Dr,https://www.zoocasa.com/milton-on-real-estate/35-651-farmstead-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F4926b75a-0a8b-44bd-a444-fb26dd1b94f4.jpg&w=640&q=75,Sold,"$1,012,750","List Price$899,000",4 days ,3 Bed,4 Bath,N/A sqft
100 Ruhl Dr,https://www.zoocasa.com/milton-on-real-estate/100-ruhl-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F782a89ee-dbb3-48c1-aad1-23d9a8c34d78.jpg&w=640&q=75,Sold,"$1,360,000","List Price$1,299,900",Sold 4 Days Ago,3 Bed,3 Bath,1500–2000 sqft
136 Gleave Terr,https://www.zoocasa.com/milton-on-real-estate/136-gleave-terr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,035,000","List Price$1,095,000",5 days ,3 Bed,3 Bath,1500–2000 sqft
61 Gleave Terr W,https://www.zoocasa.com/milton-on-real-estate/61-gleave-terr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,020,000","List Price$1,049,000",4 days ,3 Bed,3 Bath,1500–2000 sqft
29 - 651 Farmstead Dr,https://www.zoocasa.com/milton-on-real-estate/29-651-farmstead-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,025,000","List Price$899,000",Sold 5 Days Ago,3 Bed,3 Bath,1500–2000 sqft
167 Panton Tr,https://www.zoocasa.com/milton-on-real-estate/167-panton-trail,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$992,000","List Price$999,900",5 days ,3 Bed,3 Bath,1500–2000 sqft
446 Kingsleigh Crt,https://www.zoocasa.com/milton-on-real-estate/446-kingsleigh-ct,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fd4cd5fae-3957-416e-b1fc-9d9feb80f418.jpg&w=640&q=75,Sold,"$1,175,000","List Price$999,000",3 days ,3 Bed,2 Bath,N/A sqft
149 Fitzgerald Cres,https://www.zoocasa.com/milton-on-real-estate/149-fitzgerald-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F5848134d-50a4-44a0-b8c6-5e1889327f55.jpg&w=640&q=75,Sold,"$1,675,000","List Price$1,599,900",4 days ,4 Bed,4 Bath,2500–3000 sqft
214 Woodley Cres,https://www.zoocasa.com/milton-on-real-estate/214-woodley-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Ffedf186c-88ae-4436-b690-9f87724f9914.jpg&w=640&q=75,Sold,"$999,900","List Price$999,900",4 days ,3 Bed,3 Bath,1500–2000 sqft
1264 Redbud Gdns,https://www.zoocasa.com/milton-on-real-estate/1264-redbud-garden,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,150,000","List Price$1,175,000",5 days ,3 Bed,3 Bath,1500–2000 sqft
973 Mccutcheon Cres,https://www.zoocasa.com/milton-on-real-estate/973-mccutcheon-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,960,000","List Price$1,699,888",6 days ,4 Bed,3 Bath,2500–3000 sqft
783 Childs Dr,https://www.zoocasa.com/milton-on-real-estate/783-childs-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,490,000","List Price$1,499,900",6 days ,4 Bed,4 Bath,2000–2500 sqft
