Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
6 Wesley Cres,https://www.zoocasa.com/mississauga-on-real-estate/6-wesley-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Ff009955a-d3c0-4590-806a-6f12a1782fa9.jpg&w=640&q=75,Sold,"$1,504,000","List Price$1,375,000",Sold 3 Days Ago,2 Bed,2 Bath,N/A sqft
503 - 200 Burnhamthorpe Rd E,https://www.zoocasa.com/mississauga-on-real-estate/503-200-burnhamthorpe-rd-e,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F0d140ff5-f7de-48c4-bd3e-53382193cd40.jpg&w=640&q=75,Sold,"$679,800","List Price$649,000",Sold 3 Days Ago,2 Bed,2 Bath,900–1099 sqft
703 - 1300 Mississauga Valley Blvd,https://www.zoocasa.com/mississauga-on-real-estate/703-1300-mississauga-valley-blvd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F968328c8-bf99-4270-8d9c-26100f71c547.jpg&w=640&q=75,Sold,"$529,000","List Price$529,000",3 days ,2 Bed,2 Bath,900–999 sqft
100 - 2766 Folkway Dr,https://www.zoocasa.com/mississauga-on-real-estate/100-2766-folkway-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fdf356f65-9ac2-4677-be2c-1945a6032469.jpg&w=640&q=75,Sold,"$920,000","List Price$880,000",3 days ,3 Bed,3 Bath,1400–1599 sqft
302 - 1111 Bough Beeches Blvd,https://www.zoocasa.com/mississauga-on-real-estate/302-1111-bough-beeches-blvd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fc9008ba9-7e30-4290-93b7-c70559db2214.jpg&w=640&q=75,Sold,"$705,000","List Price$620,000",Sold 3 Days Ago,2 Bed,2 Bath,1200–1399 sqft
548 Amarone Crt,https://www.zoocasa.com/mississauga-on-real-estate/548-amarone-ct,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F4320b543-6143-416e-94bb-3239f3fcc824.jpg&w=640&q=75,Sold,"$2,660,000","List Price$2,499,900",3 days ,4 Bed,5 Bath,3500–5000 sqft
137 - 570 Lolita Gdns,https://www.zoocasa.com/mississauga-on-real-estate/137-570-lolita-gdns,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F8d2d76f7-c7eb-47d2-b7f7-dc3c6508a1a1.jpg&w=640&q=75,Sold,"$777,000","List Price$699,800",3 days ,2 Bed,2 Bath,1000–1199 sqft
1334 Applewood Rd,https://www.zoocasa.com/mississauga-on-real-estate/1334-applewood-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F9cb66d18-6178-4d1c-b501-e8ca5e657b71.jpg&w=640&q=75,Sold,"$1,300,000","List Price$1,390,000",3 days ,2 Bed,2 Bath,1100–1500 sqft
601 - 1271 Walden Circ,https://www.zoocasa.com/mississauga-on-real-estate/601-1271-walden-cir,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Ff8e1c41f-9b8c-44a2-a0ce-33e9b051fc0e.jpg&w=640&q=75,Sold,"$945,000","List Price$899,900",2 days ,2 Bed,2 Bath,1200–1399 sqft
4420 Treetop Crt,https://www.zoocasa.com/mississauga-on-real-estate/4420-treetop-ct,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F80dd19d2-1162-4c0a-a9c9-f75a010b2ce8.jpg&w=640&q=75,Sold,"$1,802,000","List Price$1,795,000",3 days ,4 Bed,4 Bath,N/A sqft
1409 - 1055 Southdown Rd,https://www.zoocasa.com/mississauga-on-real-estate/1409-1055-southdown-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F58c5b654-f033-4d06-b9a4-90fd067b8df1.jpg&w=640&q=75,Sold,"$665,000","List Price$659,500",2 days ,1 Bed,1 Bath,700–799 sqft
4679 Colombo Cres,https://www.zoocasa.com/mississauga-on-real-estate/4679-colombo-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F0639a807-2f7b-4af7-a0ee-c99e84aef612.jpg&w=640&q=75,Sold,"$1,203,000","List Price$1,099,888",3 days ,3 Bed,3 Bath,N/A sqft
3470 Copernicus Dr,https://www.zoocasa.com/mississauga-on-real-estate/3470-copernicus-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,610,000","List Price$1,649,799",3 days ,4 Bed,6 Bath,N/A sqft
1808 - 2545 Erin Centre Blvd,https://www.zoocasa.com/mississauga-on-real-estate/1808-2545-erin-centre-blvd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$670,000","List Price$618,000",3 days ,2 Bed,2 Bath,800–899 sqft
609 - 223 Webb Dr,https://www.zoocasa.com/mississauga-on-real-estate/609-223-webb-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$790,000","List Price$649,000",3 days ,1 Bed,2 Bath,800–899 sqft
7068 Second Line W,https://www.zoocasa.com/mississauga-on-real-estate/7068-second-line-w,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,700,000","List Price$2,749,000",3 days ,5 Bed,4 Bath,N/A sqft
75 - 2199 Burnhamthorpe Rd W,https://www.zoocasa.com/mississauga-on-real-estate/75-2199-burnhamthorpe-rd-w,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,125,000","List Price$1,120,000",4 days ,3 Bed,3 Bath,1400–1599 sqft
6286 Starfield Cres,https://www.zoocasa.com/mississauga-on-real-estate/6286-starfield-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,210,000","List Price$989,900",Sold 4 Days Ago,3 Bed,4 Bath,1500–2000 sqft
413 Barondale Dr,https://www.zoocasa.com/mississauga-on-real-estate/413-barondale-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,310,000","List Price$1,399,000",3 days ,3 Bed,3 Bath,1500–2000 sqft
