Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
1075 Brook Gardens Marsh,https://www.zoocasa.com/newmarket-on-real-estate/1075-brook-gardens-marsh,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F81c9cff7-2b31-4d05-9c75-90ae2ebf071a.jpg&w=640&q=75,Sold,"$939,900","List Price$799,000",6 days ,3 Bed,3 Bath,1200–1399 sqft
390 Harewood Blvd,https://www.zoocasa.com/newmarket-on-real-estate/390-harewood-blvd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F45f63924-7168-4c1f-9560-b346471145f8.jpg&w=640&q=75,Sold,"$1,000,000","List Price$1,050,000",4 days ,3 Bed,3 Bath,1500–2000 sqft
221 Penn Ave,https://www.zoocasa.com/newmarket-on-real-estate/221-penn-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F6d6c2901-7791-4e62-9f4f-a42997eda1f6.jpg&w=640&q=75,Sold,"$825,000","List Price$725,000",Sold 5 Days Ago,3 Bed,1 Bath,N/A sqft
494 Dixon Blvd,https://www.zoocasa.com/newmarket-on-real-estate/494-dixon-blvd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,100,000","List Price$1,198,000",10 days ,4 Bed,4 Bath,N/A sqft
57 Brandy Lane Way,https://www.zoocasa.com/newmarket-on-real-estate/57-brandy-ln-way,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F1680e345-af11-465f-aae6-23b0fa38e10b.jpg&w=640&q=75,Sold,"$850,000","List Price$799,000",6 days ,3 Bed,3 Bath,1400–1599 sqft
218 Paxton Cres,https://www.zoocasa.com/newmarket-on-real-estate/218-paxton-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F2acead34-7a96-4946-b8bf-d6f5f8739c56.jpg&w=640&q=75,Sold,"$1,210,000","List Price$1,099,000",7 days ,4 Bed,3 Bath,N/A sqft
429 Andrew St,https://www.zoocasa.com/newmarket-on-real-estate/429-andrew-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F93e74261-c53b-4056-9ac5-427313cf443f.jpg&w=640&q=75,Sold,"$900,000","List Price$999,900",Sold 7 Days Ago,3 Bed,3 Bath,1500–2000 sqft
652 Irwin Cres,https://www.zoocasa.com/newmarket-on-real-estate/652-irwin-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,015,000","List Price$964,900",9 days ,3 Bed,3 Bath,N/A sqft
300 Erin Tr,https://www.zoocasa.com/newmarket-on-real-estate/300-erin-trail,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fc59b0b3b-c9c0-4fb0-99d4-fafdd8b4cf0a.jpg&w=640&q=75,Sold,"$1,190,000","List Price$1,208,000",5 days ,4 Bed,4 Bath,N/A sqft
240 Talbot Cres,https://www.zoocasa.com/newmarket-on-real-estate/240-talbot-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$970,000","List Price$988,000",Sold 10 Days Ago,3 Bed,3 Bath,N/A sqft
