Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
2276 Calloway Dr,https://www.zoocasa.com/oakville-on-real-estate/2276-calloway-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fc17eb3a0-7481-4bc1-9e08-2e43522e24f3.jpg&w=640&q=75,Sold,"$1,500,000","List Price$1,399,000",Sold 5 Days Ago,3 Bed,3 Bath,N/A sqft
2274 Marine Dr,https://www.zoocasa.com/oakville-on-real-estate/2274-marine-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F5a2c8d14-a648-4ba1-af23-61311ebd6a06.jpg&w=640&q=75,Sold,"$1,280,000","List Price$1,349,000",3 days ,3 Bed,2 Bath,1600–1799 sqft
270 Howell Rd,https://www.zoocasa.com/oakville-on-real-estate/270-howell-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F06cdb6d8-3e97-4b51-ade9-283b14ced673.jpg&w=640&q=75,Sold,"$2,200,000","List Price$2,388,800",3 days ,5 Bed,4 Bath,3000–3500 sqft
33 - 3275 Stalybridge Dr,https://www.zoocasa.com/oakville-on-real-estate/33-3275-stalybridge-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F8112de89-f242-4e88-b8a5-118455f86294.jpg&w=640&q=75,Sold,"$1,190,000","List Price$1,199,900",4 days ,3 Bed,3 Bath,1500–2000 sqft
519 Blenheim Cres,https://www.zoocasa.com/oakville-on-real-estate/519-blenheim-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F7e19452b-e652-4bd8-bb05-febc902e6859.jpg&w=640&q=75,Sold,"$2,200,000","List Price$2,399,000",Sold 3 Days Ago,4 Bed,5 Bath,2500–3000 sqft
483 Carlton Dr,https://www.zoocasa.com/oakville-on-real-estate/483-carlton-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fb300bda3-9a6c-4cf3-8f8d-dfdc8eefcbb2.jpg&w=640&q=75,Sold,"$1,943,000","List Price$2,048,000",3 days ,4 Bed,4 Bath,2000–2500 sqft
2050 Glenhampton Rd,https://www.zoocasa.com/oakville-on-real-estate/2050-glenhampton-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F3ea338de-0a4b-441d-8b82-30847795f7ac.jpg&w=640&q=75,Sold,"$999,999","List Price$799,900",4 days ,2 Bed,3 Bath,1500–2000 sqft
2082 Hixon St,https://www.zoocasa.com/oakville-on-real-estate/2082-hixon-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F867674ce-3aa0-4222-b88a-5beaf35055e4.jpg&w=640&q=75,Sold,"$1,400,000","List Price$1,499,000",4 days ,3 Bed,2 Bath,N/A sqft
492 Parklane Rd,https://www.zoocasa.com/oakville-on-real-estate/492-parklane-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Ff1d4bc4e-ae95-4b0e-b5e2-777ea7b1d8a1.jpg&w=640&q=75,Sold,"$1,515,000","List Price$1,498,000",4 days ,4 Bed,3 Bath,2500–3000 sqft
7 - 2006 Glenada Cres,https://www.zoocasa.com/oakville-on-real-estate/7-2006-glenada-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fc8656d08-15cb-4503-bd1b-7a417395b72c.jpg&w=640&q=75,Sold,"$1,249,900","List Price$1,249,900",4 days ,3 Bed,3 Bath,2000–2249 sqft
1272 Baldwin Dr,https://www.zoocasa.com/oakville-on-real-estate/1272-baldwin-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F1de09ddc-3154-4f41-b9cf-0842530a6c4e.jpg&w=640&q=75,Sold,"$2,538,000","List Price$2,664,900",4 days ,4 Bed,3 Bath,2500–3000 sqft
62 Normandy Pl,https://www.zoocasa.com/oakville-on-real-estate/62-normandy-pl,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fdb18cbb3-8d6d-4efc-985d-09a76b45fa62.jpg&w=640&q=75,Sold,"$1,100,000","List Price$1,129,000",Sold 4 Days Ago,2 Bed,3 Bath,1100–1500 sqft
8 - 2441 Greenwich Dr,https://www.zoocasa.com/oakville-on-real-estate/8-2441-greenwich-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$735,222","List Price$749,900",5 days ,2 Bed,2 Bath,900–999 sqft
2973 Garnethill Way,https://www.zoocasa.com/oakville-on-real-estate/2973-garnethill-way,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$965,000","List Price$999,000",5 days ,3 Bed,2 Bath,N/A sqft
1172 Lansdown Dr,https://www.zoocasa.com/oakville-on-real-estate/1172-lansdown-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,050,000","List Price$1,990,000",6 days ,4 Bed,4 Bath,2500–3000 sqft
