Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
362 Newgate Ave,https://www.zoocasa.com/oshawa-on-real-estate/362-new-gate-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F7a4e8e0a-a29f-4d21-8873-89eabeab2f4b.jpg&w=640&q=75,Sold,"$930,000","List Price$950,000",2 days ,3 Bed,2 Bath,1500–2000 sqft
1488 Fenelon Cres,https://www.zoocasa.com/oshawa-on-real-estate/1488-fenelon-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fc7eaabdc-57ec-4cea-84e7-915bf22fede5.jpg&w=640&q=75,Sold,"$730,000","List Price$699,000",3 days ,3 Bed,2 Bath,N/A sqft
536 Park Rd S,https://www.zoocasa.com/oshawa-on-real-estate/536-park-rd-s,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F23805408-b64e-459f-936a-3c3ef87bd23d.jpg&w=640&q=75,Sold,"$715,000","List Price$759,300",2 days ,3 Bed,3 Bath,N/A sqft
292 Elgin St W,https://www.zoocasa.com/oshawa-on-real-estate/292-elgin-st-w,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F29d7000d-0e95-4ca0-b586-b55d7ff410bb.jpg&w=640&q=75,Sold,"$585,880","List Price$599,000",Sold 2 Days Ago,2 Bed,2 Bath,N/A sqft
148 Colborne St E,https://www.zoocasa.com/oshawa-on-real-estate/148-colborne-st-e,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F51618c91-d3c6-41e0-9c75-5173a80487e1.jpg&w=640&q=75,Sold,"$698,000","List Price$658,000",3 days ,3 Bed,1 Bath,N/A sqft
1287 Apollo St,https://www.zoocasa.com/oshawa-on-real-estate/1287-apollo-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fa6c53ac7-c467-4fd9-86be-cfdaa2d87ab8.jpg&w=640&q=75,Sold,"$1,080,000","List Price$899,900",2 days ,2 Bed,3 Bath,N/A sqft
664 Woodmount Cres,https://www.zoocasa.com/oshawa-on-real-estate/664-woodmount-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$999,999","List Price$850,000",Sold 4 Days Ago,3 Bed,3 Bath,N/A sqft
249 Hibbert Ave,https://www.zoocasa.com/oshawa-on-real-estate/249-hibbert-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$780,000","List Price$599,900",4 days ,3 Bed,1 Bath,1100–1500 sqft
448 Harwood Dr,https://www.zoocasa.com/oshawa-on-real-estate/448-harwood-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$931,000","List Price$975,000",4 days ,3 Bed,2 Bath,N/A sqft
703 - 55 William St E,https://www.zoocasa.com/oshawa-on-real-estate/703-55-william-st-e,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F33b33be7-a247-4080-ade4-9ba198e95ac1.jpg&w=640&q=75,Sold,"$500,000","List Price$429,900",3 days ,2 Bed,2 Bath,1000–1199 sqft
