Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
97 Nantucket Dr,https://www.zoocasa.com/richmond-hill-on-real-estate/97-nantucket-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F164019fb-ae05-4257-94eb-e9cd18c77f46.jpg&w=640&q=75,Sold,"$1,427,000","List Price$1,198,000",5 days ,3 Bed,4 Bath,N/A sqft
104 Olde Bayview Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/104-olde-bayview-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F393c93f9-4fda-4aee-9a13-47886d41ff1d.jpg&w=640&q=75,Sold,"$1,200,000","List Price$999,000",4 days ,2 Bed,3 Bath,N/A sqft
604sw - 9191 Yonge St,https://www.zoocasa.com/richmond-hill-on-real-estate/604sw-9191-yonge-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F95a33371-af27-4ec1-b662-918ef7ad7277.jpg&w=640&q=75,Sold,"$700,000","List Price$588,000",3 days ,1 Bed,2 Bath,600–699 sqft
625 - 326 Major Mackenzie Dr E,https://www.zoocasa.com/richmond-hill-on-real-estate/625-326-major-mackenzie-dr-e,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F8163540e-34ee-423d-a7e0-00d10aa3dff6.jpg&w=640&q=75,Sold,"$595,000","List Price$580,000",Sold 5 Days Ago,2 Bed,1 Bath,900–999 sqft
57 Palisade Cres,https://www.zoocasa.com/richmond-hill-on-real-estate/57-palisade-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F97f4cbc7-88ea-494a-90ab-e8fc8ddbff84.jpg&w=640&q=75,Sold,"$1,760,000","List Price$1,490,000",5 days ,4 Bed,3 Bath,N/A sqft
216 Boake Tr,https://www.zoocasa.com/richmond-hill-on-real-estate/216-boake-trail,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F39bba6e8-fe02-4e0f-8956-4daf7f836e9d.jpg&w=640&q=75,Sold,"$3,310,000","List Price$3,099,000",4 days ,5 Bed,5 Bath,3500–5000 sqft
8 Cougar Crt,https://www.zoocasa.com/richmond-hill-on-real-estate/8-cougar-ct,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Feb691edc-6254-4195-a7e7-2e248b284660.jpg&w=640&q=75,Sold,"$2,000,800","List Price$1,780,000",5 days ,4 Bed,4 Bath,3000–3500 sqft
23 Holmwood St,https://www.zoocasa.com/richmond-hill-on-real-estate/23-holmwood-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,375,000","List Price$1,100,000",Sold 9 Days Ago,3 Bed,3 Bath,N/A sqft
121 Martini Dr,https://www.zoocasa.com/richmond-hill-on-real-estate/121-martini-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,901,000","List Price$1,688,000",7 days ,4 Bed,4 Bath,2500–3000 sqft
61 Crosby Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/61-crosby-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,425,000","List Price$999,900",Sold 7 Days Ago,3 Bed,2 Bath,N/A sqft
