Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
70 Macbride Cres,https://www.zoocasa.com/vaughan-on-real-estate/70-macbride-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F95ca3548-0340-4f6e-866f-e8b9ed5b3464.jpg&w=640&q=75,Sold,"$1,180,000","List Price$1,199,000",3 days ,3 Bed,3 Bath,N/A sqft
103 Hesperus Rd,https://www.zoocasa.com/vaughan-on-real-estate/103-hesperus-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F51fa1e96-3594-4e2b-8203-6db96f764cf4.jpg&w=640&q=75,Sold,"$1,788,800","List Price$1,660,000",3 days ,3 Bed,5 Bath,N/A sqft
114 Isaiah Dr,https://www.zoocasa.com/vaughan-on-real-estate/114-isaiah-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F7ff7aa4c-7b5a-4c39-b0b7-a838c56b2bb1.jpg&w=640&q=75,Sold,"$2,200,000","List Price$1,999,999",3 days ,5 Bed,5 Bath,3500–5000 sqft
57 Lady Loretta Lane,https://www.zoocasa.com/vaughan-on-real-estate/57-lady-loretta-ln,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F0cf493ad-b4ae-40e1-8cd1-659ee623d386.jpg&w=640&q=75,Sold,"$1,545,000","List Price$1,579,000",Sold 3 Days Ago,4 Bed,4 Bath,2000–2500 sqft
204 - 160 Woodbridge Ave,https://www.zoocasa.com/vaughan-on-real-estate/204-160-woodbridge-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F1f96f918-eaf8-4f48-ac87-96431d23ea26.jpg&w=640&q=75,Sold,"$620,000","List Price$600,000",3 days ,1 Bed,1 Bath,700–799 sqft
62 Mahogany Forest Dr,https://www.zoocasa.com/vaughan-on-real-estate/62-mahogany-forest-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fd843c310-f6ab-4306-b768-fdcf60fb58af.jpg&w=640&q=75,Sold,"$1,315,000","List Price$1,349,900",3 days ,3 Bed,4 Bath,1500–2000 sqft
309 - 199 Pine Grove Rd,https://www.zoocasa.com/vaughan-on-real-estate/309-199-pine-grove-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F7485247d-fd72-499a-8470-9ffd1fd3448c.jpg&w=640&q=75,Sold,"$950,000","List Price$899,888",Sold 4 Days Ago,2 Bed,2 Bath,1000–1199 sqft
507 - 9085 Jane St,https://www.zoocasa.com/vaughan-on-real-estate/507-9085-jane-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fcdeee022-7cbe-4bdb-aa5a-c26ee18f27e9.jpg&w=640&q=75,Sold,"$600,000","List Price$588,000",4 days ,1 Bed,1 Bath,500–599 sqft
185 Boone Cres,https://www.zoocasa.com/vaughan-on-real-estate/185-boone-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F8c9dfe3a-4c33-4018-b2f5-bf82d3cb8a34.jpg&w=640&q=75,Sold,"$1,900,000","List Price$1,949,000",3 days ,4 Bed,4 Bath,N/A sqft
6 Delfire St,https://www.zoocasa.com/vaughan-on-real-estate/6-delfire-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Ffb88d177-1b5a-422c-b311-f64b5c55e960.jpg&w=640&q=75,Sold,"$1,050,000","List Price$1,049,000",4 days ,3 Bed,4 Bath,1500–2000 sqft
