Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
37 Wyndfield Cres,https://www.zoocasa.com/whitby-on-real-estate/37-wyndfield-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F8685af65-5c84-417a-9aea-3701a1004348.jpg&w=640&q=75,Sold,"$1,300,000","List Price$1,399,900",Sold 5 Days Ago,4 Bed,4 Bath,N/A sqft
59 - 901 Burns St W,https://www.zoocasa.com/whitby-on-real-estate/59-901-burns-st-w,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$785,000","List Price$599,900",6 days ,3 Bed,3 Bath,1000–1199 sqft
3 Fawcett Ave,https://www.zoocasa.com/whitby-on-real-estate/3-fawcett-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$858,888","List Price$699,000",6 days ,3 Bed,3 Bath,N/A sqft
1 Oglevie Dr,https://www.zoocasa.com/whitby-on-real-estate/1-oglevie-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fc7c5eff5-0b93-45c0-a02b-29e3b07375ed.jpg&w=640&q=75,Sold,"$999,980","List Price$1,059,000",5 days ,3 Bed,4 Bath,1500–2000 sqft
18 Winter Crt,https://www.zoocasa.com/whitby-on-real-estate/18-winter-ct,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F2364ccd6-48b3-46ce-88c7-1c45f6de20a9.jpg&w=640&q=75,Sold,"$1,500,000","List Price$999,800",Sold 5 Days Ago,4 Bed,4 Bath,2500–3000 sqft
3-2 - 540 Mary St E,https://www.zoocasa.com/whitby-on-real-estate/3-2-540-mary-st-e,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fd238a0c6-c6a8-4564-b580-824e1b1691fb.jpg&w=640&q=75,Sold,"$500,000","List Price$499,999",5 days ,3 Bed,1 Bath,1000–1199 sqft
88 James Govan Dr,https://www.zoocasa.com/whitby-on-real-estate/88-james-govan-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$925,000","List Price$799,888",6 days ,3 Bed,3 Bath,1500–2000 sqft
214 - 660 Gordon St,https://www.zoocasa.com/whitby-on-real-estate/214-660-gordon-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F323e0241-f335-4f36-9ace-bde0bf19702e.jpg&w=640&q=75,Sold,"$1,000,000","List Price$750,000",5 days ,2 Bed,2 Bath,1200–1399 sqft
110 Halls Rd N,https://www.zoocasa.com/whitby-on-real-estate/110-halls-rd-n,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F129efd40-e0cd-4cec-aa83-e4273258638c.jpg&w=640&q=75,Sold,"$1,290,000","List Price$999,888",5 days ,3 Bed,3 Bath,N/A sqft
48 Shrewsbury Dr,https://www.zoocasa.com/whitby-on-real-estate/48-shrewsbury-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F13c86d83-4ffa-4c2f-9519-4a5ede2d1ad5.jpg&w=640&q=75,Sold,"$999,999","List Price$999,900",5 days ,3 Bed,4 Bath,N/A sqft
